,precision,recall,f1-score,support
0,0.606973058637084,0.945679012345679,0.7393822393822392,405.0
1,0.9676470588235294,0.7262693156732892,0.8297604035308954,906.0
accuracy,0.7940503432494279,0.7940503432494279,0.7940503432494279,0.7940503432494279
macro avg,0.7873100587303067,0.8359741640094841,0.7845713214565673,1311.0
weighted avg,0.8562260290176481,0.7940503432494279,0.8018403757046515,1311.0
