,precision,recall,f1-score,support
0,0.8558139534883721,0.6072607260726073,0.7104247104247104,606.0
1,0.768,0.64,0.6981818181818182,300.0
2,0.606973058637084,0.945679012345679,0.7393822393822392,405.0
accuracy,0.7192982456140351,0.7192982456140351,0.7192982456140351,0.7192982456140351
macro avg,0.7435956707084853,0.7309799128060953,0.7159962559962559,1311.0
weighted avg,0.758846181969468,0.7192982456140351,0.7165688229761455,1311.0
